Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100.0
MSFT,Microsoft Corporation,Microsoft Corporation - Common Stock,Q,N,N,100.0
